history_id,product_id,price,time_stamp
1,101,4.49,2025-02-01 14:22:35
2,101,4.39,2025-03-01 14:22:35
3,101,4.29,2025-04-01 14:22:35
4,102,6.29,2025-02-01 14:22:35
5,102,6.59,2025-03-01 14:22:35
6,102,6.59,2025-04-01 14:22:35
7,103,3.99,2025-02-01 14:22:35
8,103,3.89,2025-03-01 14:22:35
9,103,3.89,2025-04-01 14:22:35
10,104,0.25,2025-02-01 14:22:35
11,104,0.27,2025-03-01 14:22:35
12,104,0.29,2025-04-01 14:22:35
13,105,12.99,2025-02-01 14:22:35
14,105,13.25,2025-03-01 14:22:35
15,105,13.45,2025-04-01 14:22:35
16,106,5.99,2025-02-01 14:22:35
17,106,6.25,2025-03-01 14:22:35
18,106,6.49,2025-04-01 14:22:35
19,107,0.69,2025-02-01 14:22:35
20,107,0.72,2025-03-01 14:22:35
21,107,0.75,2025-04-01 14:22:35
22,108,0.82,2025-02-01 14:22:35
23,108,0.85,2025-03-01 14:22:35
24,108,0.89,2025-04-01 14:22:35
25,109,9.49,2025-02-01 14:22:35
26,109,9.69,2025-03-01 14:22:35
27,109,9.89,2025-04-01 14:22:35
28,110,2.99,2025-02-01 14:22:35
29,110,3.19,2025-03-01 14:22:35
30,110,3.29,2025-04-01 14:22:35
31,111,4.79,2025-02-01 14:22:35
32,111,4.89,2025-03-01 14:22:35
33,111,4.99,2025-04-01 14:22:35
34,112,4.49,2025-02-01 14:22:35
35,112,4.59,2025-03-01 14:22:35
36,112,4.79,2025-04-01 14:22:35
37,113,3.79,2025-02-01 14:22:35
38,113,3.89,2025-03-01 14:22:35
39,113,3.99,2025-04-01 14:22:35
40,114,1.29,2025-02-01 14:22:35
41,114,1.39,2025-03-01 14:22:35
42,114,1.49,2025-04-01 14:22:35
43,121,4.69,2025-02-01 14:22:35
44,121,4.79,2025-03-01 14:22:35
45,121,4.99,2025-04-01 14:22:35
46,122,5.49,2025-02-01 14:22:35
47,122,5.79,2025-03-01 14:22:35
48,122,5.99,2025-04-01 14:22:35
49,123,4.99,2025-02-01 14:22:35
50,123,5.29,2025-03-01 14:22:35
51,123,5.49,2025-04-01 14:22:35
52,124,0.59,2025-02-01 14:22:35
53,124,0.65,2025-03-01 14:22:35
54,124,0.69,2025-04-01 14:22:35
55,141,3.69,2025-02-01 14:22:35
56,141,3.79,2025-03-01 14:22:35
57,141,3.89,2025-04-01 14:22:35
58,142,4.99,2025-02-01 14:22:35
59,142,5.19,2025-03-01 14:22:35
60,142,5.29,2025-04-01 14:22:35
61,143,4.79,2025-02-01 14:22:35
62,143,4.89,2025-03-01 14:22:35
63,143,4.99,2025-04-01 14:22:35
64,144,2.79,2025-02-01 14:22:35
65,144,2.89,2025-03-01 14:22:35
66,144,2.99,2025-04-01 14:22:35
67,155,8.49,2025-02-01 14:22:35
68,155,8.79,2025-03-01 14:22:35
69,155,8.99,2025-04-01 14:22:35
70,159,5.99,2025-02-01 14:22:35
71,159,6.29,2025-03-01 14:22:35
72,159,6.49,2025-04-01 14:22:35
